"filename", "language", "Markdown", "Image", "CSS", "XML", "JavaScript", "JSON", "Pug", "Environment Variables", "YAML", "comment", "blank", "total"
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/public/css/partials/_nav.css", "CSS", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 2, 66
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/public/css/partials/_normalize.css", "CSS", 0, 0, 207, 0, 0, 0, 0, 0, 0, 173, 99, 479
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/public/css/partials/_single.css", "CSS", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 2, 67
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/public/css/style.css", "CSS", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/public/images/icons/add.svg", "XML", 0, 0, 0, 48, 0, 0, 0, 0, 0, 1, 1, 50
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/public/images/icons/flight.svg", "XML", 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 1, 152
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/public/images/icons/logo.svg", "XML", 0, 0, 0, 72, 0, 0, 0, 0, 0, 1, 1, 74
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/public/images/icons/logout.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/public/images/icons/plane.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/public/images/icons/ticket.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/public/images/slikaneka.png", "Image", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/public/javascripts/admin-app.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/routes/index.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 15, 40
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/start.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 9, 31
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/variables.env", "Environment Variables", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 13
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/views/airplaneForm.pug", "Pug", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/views/error.pug", "Pug", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"/home/stefan/faks/Softverske_Komponente/Avionske-karte/TicketService/views/flightForm.pug", "Pug", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
